"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 01 15:11:55 UTC 2024","Sun Dec 01 15:12:23 UTC 2024","28165","tests","test_add_new_services","TestAddNewServices","","","Account login",""
"passed","Sun Dec 01 15:11:55 UTC 2024","Sun Dec 01 15:12:26 UTC 2024","30728","tests","test_add_new_services","TestAddNewServices","","","Create a new request",""
"passed","Sun Dec 01 15:11:55 UTC 2024","Sun Dec 01 15:12:33 UTC 2024","37589","tests","test_add_new_services","TestAddNewServices","","","Add new services",""
